"","site_no","coord_acy_","dec_coord_","lat","long"
"1",10336580,"S","NAD83",38.79629598,-120.0190718
"2",10336593,"F","NAD83",38.80185155,-120.0160162
"3",10336600,"F","NAD83",38.8429629,-120.0246274
"4",103366092,"S","NAD83",38.8485185,-120.0271275
"5",103366097,"S","NAD83",38.87375,-120.01
"6",10336610,"S","NAD83",38.9224078,-119.9915706
"7",10336626,"F","NAD83",38.9215744,-120.0612952
"8",10336630,"F","NAD83",38.95129664,-120.1115747
"9",10336640,"F","NAD83",39.0357409,-120.1257429
"10",10336645,"F","NAD83",39.05185197,-120.1185209
"11",10336650,"F","NAD83",39.07601837,-120.1526895
"12",10336655,"F","NAD83",39.08712935,-120.1743572
"13",10336658,"F","NAD83",39.09074049,-120.1626903
"14",10336660,"F","NAD83",39.10740708,-120.1621352
"15",10336670,"F","NAD83",39.13574009,-120.220749
"16",10336672,"F","NAD83",39.1412956,-120.2193602
"17",10336674,"S","NAD83",39.1407401,-120.2121377
"18",10336675,"F","NAD83",39.1368513,-120.1810255
"19",10336676,"F","NAD83",39.1321292,-120.1576913
"20",10336684,"F","NAD83",39.19851798,-120.0982471
"21",10336686,"S","NAD83",39.2268512,-120.0815809
"22",10336689,"F","NAD83",39.23824014,-120.0396357
"23",10336698,"S","NAD83",39.24046325,-119.9465774
"24",103366993,"S","NAD83",39.25879699,-119.9232439
"25",103366995,"S","NAD83",39.24546335,-119.9390773
"26",10336700,"S","NAD83",39.2401855,-119.9449106
"27",10336759,"F","NAD83",38.96379676,-119.924347
"28",10336770,"S","NAD83",38.8632405,-119.9582367
"29",10336775,"H","NAD83",38.90339444,-119.9688917
"30",10336778,"S","NAD83",38.90879645,-119.9618478
"31",10336780,"S","NAD83",38.9199077,-119.9724036
"32",10336785,"F","NAD83",38.92129659,-119.9712924
"33",10336790,"F","NAD83",38.93213,-119.9787926
"34",10337500,"F","NAD83",39.16629577,-120.1443586
"35",10338000,"F","NAD83",39.2962952,-120.2054752
"36",10338100,"S","NAD83",39.320461,-120.2974226
"37",10338500,"F","NAD83",39.3235172,-120.2343654
"38",10338700,"S","NAD83",39.32101739,-120.2079759
"39",10339419,"S","NAD83",39.36851817,-120.1149198
"40",10340500,"F","NAD83",39.37324026,-120.131587
"41",10341950,"S","NAD83",39.4915715,-120.2927043
"42",10342000,"F","NAD83",39.5012939,-120.2774263
"43",10343000,"F","NAD83",39.4565717,-120.2871477
"44",10343200,"S","NAD83",39.47823908,-120.2327026
"45",10343500,"F","NAD83",39.43157246,-120.2379793
"46",10344400,"F","NAD83",39.43574106,-120.084366
"47",10344500,"F","NAD83",39.38685177,-120.0954757
"48",10344505,"S","NAD83",39.38518517,-120.0876977
"49",10345490,"S","NAD83",39.3726856,-120.0313073
"50",10345700,"S","NAD83",39.3837969,-120.020752
"51",10346000,"S","NAD83",39.42796385,-120.0340873
"52",10347300,"U","NAD83",39.5651863,-120.0246453
"53",10354000,"F","NAD83",39.85546105,-120.0677023
"54",10354700,"F","NAD83",40.17073367,-120.3716042
"55",10355000,"F","NAD83",40.3260085,-120.541057
"56",10355500,"F","NAD83",40.2998975,-120.5399455
"57",10356500,"F","NAD83",40.41739494,-120.6718958
"58",10357000,"F","NAD83",40.37350636,-120.653839
"59",10358470,"F","NAD83",40.49656337,-120.5593937
"60",10358500,"F","NAD83",40.4890637,-120.5371707
"61",10359100,"F","NAD83",40.39156694,-120.3074382
"62",10359250,"F","NAD83",40.5737774,-121.1060766
"63",10359300,"F","NAD83",40.6648935,-120.7913464
"64",10359350,"F","NAD83",40.7360059,-120.7066225
"65",10360230,"F","NAD83",41.3123957,-120.1252193
"66",10360900,"S","NAD83",41.8823902,-120.1749508
"67",10361000,"F","NAD83",41.8748904,-120.1621726
"68",11181330,"F","NAD83",37.8438154,-122.2274681
"69",11181335,"F","NAD83",37.8465931,-122.228857
"70",11181390,"F","NAD83",37.9532571,-122.3383039
"71",11181400,"F","NAD83",37.96131246,-122.3602489
"72",11182030,"F","NAD83",37.9771453,-122.35386
"73",11182100,"F","NAD83",37.97242309,-122.2463573
"74",11182400,"F","NAD83",38.0032551,-122.129965
"75",11182500,"F","NAD83",37.772983,-121.9946825
"76",11182800,"F","NAD83",37.8771471,-122.0488513
"77",11183000,"F","NAD83",37.8843691,-122.0510736
"78",11183500,"F","NAD83",37.90575747,-122.057185
"79",11183600,"F","NAD83",37.9452008,-122.0496848
"80",11183700,"F","NAD83",37.88492448,-121.977738
"81",11184000,"F","NAD83",37.96658905,-122.026073
"82",11184500,"F","NAD83",37.9693668,-122.046907
"83",11185000,"F","NAD83",37.9513117,-122.0357956
"84",11185100,"F","NAD83",37.95686727,-122.0732967
"85",11336580,"F","NAD83",38.49851847,-121.4527317
"86",11336585,"S","NAD83",38.42324335,-121.353284
"87",11341400,"F","NAD83",41.26654165,-122.311677
"88",11341500,"F","NAD83",41.13820766,-122.3144542
"89",11342000,"F","NAD83",40.93959397,-122.4172351
"90",11342500,"F","NAD83",40.88014987,-122.3791774
"91",11343000,"F","NAD83",41.51933689,-120.4732869
"92",11343500,"F","NAD83",41.49989256,-120.4893983
"93",11344000,"F","NAD83",41.4821147,-120.5388443
"94",11344500,"F","NAD83",41.23322889,-120.3410582
"95",11345500,"F","NAD83",41.2307286,-120.4371726
"96",11346000,"F","NAD83",41.2740606,-120.575511
